Legend:,Control Before Study,Control After Study,Patients Before Study,Patients After Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uniqueID,UP name,Lineage( full ),Median_Control_Before_Diet,Mean_Control_Before_Diet,Standard_Deviation_Control_Before_Diet,Interquartile_Range_Control_Before_Diet,Range_Control_Before_Diet,0%_Control_Before_Diet,25%_Control_Before_Diet,50%_Control_Before_Diet,75%_Control_Before_Diet,100%_Control_Before_Diet,Median_Control_After_Diet,Mean_Control_After_Diet,Standard_Deviation_Control_After_Diet,Interquartile_Range_Control_After_Diet,Range_Control_After_Diet,0%_Control_After_Diet,25%_Control_After_Diet,50%_Control_After_Diet,75%_Control_After_Diet,100%_Control_After_Diet,Median_Patient_Before_Diet,Mean_Patient_Before_Diet,Standard_Deviation_Patient_Before_Diet,Interquartile_Range_Patient_Before_Diet,Range_Patient_Before_Diet,0%_Patient_Before_Diet,25%_Patient_Before_Diet,50%_Patient_Before_Diet,75%_Patient_Before_Diet,100%_Patient_Before_Diet,Median_Patient_After_Diet,Mean_Patient_After_Diet,Standard_Deviation_Patient_After_Diet,Interquartile_Range_Patient_After_Diet,Range_Patient_After_Diet,0%_Patient_After_Diet,25%_Patient_After_Diet,50%_Patient_After_Diet,75%_Patient_After_Diet,100%_Patient_After_Diet
UP000002294_CP001708,Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / PC1) (Peptostreptococcus prevotii) (Peptococcus prevotii),Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus prevotii,1.00E-05,6.36E-06,6.74E-06,1.00E-05,2.00E-05,0,0,1.00E-05,1.00E-05,2.00E-05,0,0.000278,0.000872096,7.50E-06,0.00276,0,0,0,7.50E-06,0.00276,0,5.00E-06,9.05E-06,1.00E-05,3.00E-05,0,0,0,1.00E-05,3.00E-05,0,0.000108333,0.000368999,2.50E-06,0.00128,0,0,0,2.50E-06,0.00128
UP000001377_CP001726,Eggerthella lenta (strain ATCC 25559 / DSM 2243 / JCM 9979 / NCTC 11813 / VPI 0255) (Eubacterium lentum),Bacteria; Terrabacteria group; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Eggerthella; Eggerthella lenta,0.00037,0.000413636,0.000324138,0.000395,0.00108,8.00E-05,0.00016,0.00037,0.000555,0.00116,0.00039,0.000909,0.001692792,0.00044,0.00561,6.00E-05,0.000195,0.00039,0.000635,0.00567,0.00319,0.0093575,0.013481789,0.0119925,0.04723,0.00054,0.0012575,0.00319,0.01325,0.04777,0.00539,0.022135,0.036086159,0.0216075,0.11659,0.00013,0.0014375,0.00539,0.023045,0.11672
UP000007968_CP001820,Veillonella parvula (strain ATCC 10790 / DSM 2008 / JCM 12972 / Te3) (Veillonella alcalescens),Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Veillonellales; Veillonellaceae; Veillonella; Veillonella parvula,2.00E-04,0.000337273,0.000433523,0.00036,0.00151,1.00E-05,6.00E-05,2.00E-04,0.00042,0.00152,0.00011,0.000209,0.000229853,0.000345,0.00059,2.00E-05,4.25E-05,0.00011,0.0003875,0.00061,1.00E-04,0.00094,0.001924942,0.000175,0.00535,0,6.00E-05,1.00E-04,0.000235,0.00535,4.00E-05,0.00022,0.000532609,6.75E-05,0.00188,0,1.75E-05,4.00E-05,8.50E-05,0.00188
UP000002312_CP001840,Bifidobacterium bifidum (strain PRL2010),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium bifidum,1.00E-04,0.000859091,0.001973335,0.00066,0.00671,1.00E-05,2.00E-05,1.00E-04,0.00068,0.00672,1.00E-04,0.000925,0.002129733,0.000675,0.0069,2.00E-05,2.00E-05,1.00E-04,0.000695,0.00692,0.003055,0.003926667,0.004343326,0.0058625,0.01288,9.00E-05,0.0001675,0.003055,0.00603,0.01297,1.50E-05,0.001248333,0.002881019,0.00051,0.00985,0,1.00E-05,1.50E-05,0.00052,0.00985
UP000001888_CP001849,Gardnerella vaginalis (strain 409-05),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Gardnerella; Gardnerella vaginalis,0,3.64E-06,1.21E-05,0,4.00E-05,0,0,0,0,4.00E-05,0,1.70E-05,4.69E-05,7.50E-06,0.00015,0,0,0,7.50E-06,0.00015,0,0.0004725,0.001621055,1.00E-05,0.00562,0,0,0,1.00E-05,0.00562,0,0.000153333,0.000528021,0,0.00183,0,0,0,0,0.00183
UP000008234_CP001850,Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp BVAB3 (strain UPII9-5)),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Mageeibacillus; Mageeibacillus indolicus,6.00E-05,6.18E-05,4.19E-05,6.50E-05,0.00013,2.00E-05,2.00E-05,6.00E-05,8.50E-05,0.00015,4.00E-05,0.00012,0.000224301,5.75E-05,0.00074,1.00E-05,2.50E-05,4.00E-05,8.25E-05,0.00075,3.00E-05,4.58E-05,4.19E-05,4.25E-05,0.00013,0,2.00E-05,3.00E-05,6.25E-05,0.00013,2.00E-05,2.75E-05,2.22E-05,3.00E-05,7.00E-05,0,1.00E-05,2.00E-05,4.00E-05,7.00E-05
UP000001902_CP001859,Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4),Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Acidaminococcus; Acidaminococcus fermentans,6.00E-05,0.000336364,0.000936966,5.50E-05,0.00314,2.00E-05,2.50E-05,6.00E-05,8.00E-05,0.00316,3.50E-05,0.000757,0.002146367,0.000155,0.00685,1.00E-05,2.25E-05,3.50E-05,0.0001775,0.00686,2.00E-05,3.00E-05,3.49E-05,2.25E-05,0.00011,0,1.00E-05,2.00E-05,3.25E-05,0.00011,3.00E-05,5.67E-05,6.47E-05,9.50E-05,2.00E-04,0,7.50E-06,3.00E-05,0.0001025,2.00E-04
UP000041838_CP001891,Klebsiella variicola,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella variicola,0,9.09E-07,3.02E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,0.002321,0.00733262,7.50E-06,0.02319,0,0,0,7.50E-06,0.02319,0,8.33E-06,1.85E-05,2.50E-06,6.00E-05,0,0,0,2.50E-06,6.00E-05,1.00E-05,2.92E-05,7.29E-05,2.50E-06,0.00026,0,7.50E-06,1.00E-05,1.00E-05,0.00026
UP000000927_CP002006,Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella ruminicola,3.00E-05,7.45E-05,0.00010182,0.00013,0.00032,0,0,3.00E-05,0.00013,0.00032,1.00E-05,6.10E-05,8.72E-05,0.00013,2.00E-04,0,2.50E-06,1.00E-05,0.0001325,2.00E-04,5.00E-06,4.08E-05,6.44E-05,6.00E-05,0.00018,0,0,5.00E-06,6.00E-05,0.00018,1.00E-05,5.25E-05,0.000111935,4.25E-05,0.00039,0,0,1.00E-05,4.25E-05,0.00039
UP000006740_CP002010,Bifidobacterium longum subsp longum (strain JDM301),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,0.00291,0.004389091,0.00378537,0.00622,0.01072,0.00056,0.000945,0.00291,0.007165,0.01128,0.00187,0.003222,0.004035767,0.001985,0.01348,0.00052,0.0011,0.00187,0.003085,0.014,0.00423,0.007916667,0.009623314,0.0051875,0.03181,0.00125,0.0023975,0.00423,0.007585,0.03306,0.00045,0.002200833,0.004010417,0.00127,0.01344,4.00E-05,0.0001675,0.00045,0.0014375,0.01348
UP000057640_CP002030,Campylobacter jejuni subsp jejuni,Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni; Campylobacter jejuni subsp. jejuni,2.00E-05,3.27E-05,3.20E-05,3.00E-05,9.00E-05,1.00E-05,1.00E-05,2.00E-05,4.00E-05,1.00E-04,4.00E-05,4.80E-05,3.79E-05,4.75E-05,0.00012,1.00E-05,2.00E-05,4.00E-05,6.75E-05,0.00013,2.00E-05,3.92E-05,4.50E-05,3.25E-05,0.00014,1.00E-05,1.00E-05,2.00E-05,4.25E-05,0.00015,2.00E-05,4.08E-05,4.96E-05,3.75E-05,0.00016,1.00E-05,1.00E-05,2.00E-05,4.75E-05,0.00017
UP000001662_CP002109,Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; [Clostridium] saccharolyticum,0.00027,0.000311818,0.000147161,0.000135,0.00048,0.00013,0.00021,0.00027,0.000345,0.00061,0.00036,0.000345,0.000135339,0.00019,0.00042,0.00014,0.0002425,0.00036,0.0004325,0.00056,0.000225,0.000196667,8.49E-05,0.0001275,0.00025,5.00E-05,0.000135,0.000225,0.0002625,3.00E-04,1.00E-04,0.0001375,0.000111284,0.0001825,0.00035,3.00E-05,5.00E-05,1.00E-04,0.0002325,0.00038
UP000001498_CP002122,Prevotella melaninogenica (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282) (Bacteroides melaninogenicus),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella melaninogenica,0.00011,0.000240909,0.000318165,0.000195,0.0011,0,6.00E-05,0.00011,0.000255,0.0011,0.00013,0.000286,0.000351163,0.0005525,0.00093,0,1.00E-05,0.00013,0.0005625,0.00093,5.50E-05,0.000149167,0.000193553,0.000215,0.00051,0,0,5.50E-05,0.000215,0.00051,2.00E-05,0.000186667,0.000380725,0.0002075,0.00133,0,0,2.00E-05,0.0002075,0.00133
UP000006869_CP002220,Bifidobacterium bifidum (strain S17),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium bifidum,5.00E-05,0.000586364,0.001609865,0.00012,0.00541,0,1.00E-05,5.00E-05,0.00013,0.00541,3.50E-05,0.000679,0.001775903,0.0002125,0.0057,0,1.00E-05,3.50E-05,0.0002225,0.0057,0.001725,0.00271,0.003228526,0.00437,0.00977,0,1.75E-05,0.001725,0.0043875,0.00977,5.00E-06,0.00095,0.002312276,0.0003725,0.00799,0,0,5.00E-06,0.0003725,0.00799
UP000006873_CP002273,Eubacterium limosum (strain KIST612),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium,0.00023,0.000349091,0.000338923,0.00041,0.00088,6.00E-05,9.50E-05,0.00023,0.000505,0.00094,0.00016,0.000299,0.000317506,0.0001475,0.00084,7.00E-05,0.0001175,0.00016,0.000265,0.00091,0.000405,0.001054167,0.001663252,0.0006425,0.00555,1.00E-05,0.0001925,0.000405,0.000835,0.00556,0.00034,0.0059125,0.013403489,0.003055,0.04605,0,6.00E-05,0.00034,0.003115,0.04605
UP000232637_CP002286,Bifidobacterium longum,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,0.00046,0.000421818,0.000295663,0.000515,0.00078,5.00E-05,0.000115,0.00046,0.00063,0.00083,0.00029,0.000308,0.000238132,0.000215,0.00082,6.00E-05,0.0001625,0.00029,0.0003775,0.00088,0.000575,0.000661667,0.00055759,0.0007125,0.00177,5.00E-05,0.000235,0.000575,0.0009475,0.00182,3.50E-05,0.0002575,0.000490975,0.000145,0.0016,0,1.00E-05,3.50E-05,0.000155,0.0016
UP000193045_CP002291,Escherichia coli H386,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,0,5.91E-05,0.000182946,5.00E-06,0.00061,0,0,0,5.00E-06,0.00061,0,0.00037,0.00095788,2.00E-05,0.00304,0,0,0,2.00E-05,0.00304,8.00E-05,0.0008075,0.002352802,0.0002675,0.00826,0,0,8.00E-05,0.0002675,0.00826,0.000345,0.001165,0.002470916,0.0004775,0.00885,2.00E-05,0.000205,0.000345,0.0006825,0.00887
UP000008630_CP002352,Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides helcogenes,0.00034,0.001038182,0.001081118,0.0015,0.0028,0.00019,0.000205,0.00034,0.001705,0.00299,0.00188,0.001768,0.001528491,0.0022275,0.0047,0.00017,0.0003525,0.00188,0.00258,0.00487,0.00064,0.001415833,0.001862947,0.0010175,0.00627,3.00E-05,0.000425,0.00064,0.0014425,0.0063,0.000875,0.001493333,0.001740571,0.001825,0.00494,1.00E-05,0.000115,0.000875,0.00194,0.00495
UP000001551_CP002400,Ethanoligenens harbinense (strain DSM 18485 / JCM 12961 / CGMCC 15033 / YUAN-3),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ethanoligenens; Ethanoligenens harbinense,4.00E-05,3.45E-05,2.77E-05,4.50E-05,8.00E-05,0,1.00E-05,4.00E-05,5.50E-05,8.00E-05,2.00E-05,3.80E-05,3.99E-05,5.00E-05,0.00012,1.00E-05,1.00E-05,2.00E-05,6.00E-05,0.00013,2.00E-05,2.08E-05,1.73E-05,2.50E-05,5.00E-05,0,7.50E-06,2.00E-05,3.25E-05,5.00E-05,2.00E-05,4.17E-05,6.46E-05,2.25E-05,0.00022,0,1.00E-05,2.00E-05,3.25E-05,0.00022
UP000007486_CP002530,Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides salanitronis,0.00035,0.001089091,0.001625327,0.00097,0.00461,9.00E-05,0.00012,0.00035,0.00109,0.0047,0.00048,0.001291,0.001519842,0.0016725,0.00433,5.00E-05,0.000285,0.00048,0.0019575,0.00438,0.000535,0.0008475,0.000852889,0.001125,0.00277,0.00013,0.00017,0.000535,0.001295,0.0029,0.000465,0.000836667,0.001137552,0.00064,0.00415,1.00E-05,0.000245,0.000465,0.000885,0.00416
UP000006657_CP002544,Odoribacter splanchnicus (strain ATCC 29572 / DSM 20712 / CIP 104287 / JCM 15291 / NCTC 10825 / 1651/6) (Bacteroides splanchnicus),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Odoribacteraceae; Odoribacter; Odoribacter splanchnicus,0.00792,0.007694545,0.005220397,0.00702,0.01467,0.00128,0.00368,0.00792,0.0107,0.01595,0.00581,0.008648,0.006856687,0.009135,0.0199,0.00012,0.004005,0.00581,0.01314,0.02002,0.007885,0.008380833,0.005433734,0.007785,0.01726,0.00089,0.00445,0.007885,0.012235,0.01815,0.011325,0.012969167,0.014799714,0.012255,0.05418,0.00118,0.00205,0.011325,0.014305,0.05536
UP000006860_CP002546,Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis),Bacteria; PVC group; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Rubinisphaera; Rubinisphaera brasiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP000008137_CP002589,Prevotella denticola (strain F0289),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella denticola,3.00E-05,9.73E-05,0.000104985,0.00016,0.00032,0,2.00E-05,3.00E-05,0.00018,0.00032,2.50E-05,0.000193,0.000482748,0.0001025,0.00156,0,2.50E-06,2.50E-05,0.000105,0.00156,1.00E-05,2.50E-05,3.15E-05,3.75E-05,8.00E-05,0,0,1.00E-05,3.75E-05,8.00E-05,1.00E-05,3.00E-05,4.26E-05,4.50E-05,0.00014,0,0,1.00E-05,4.50E-05,0.00014
UP000006852_CP002631,Treponema succinifaciens (strain ATCC 33096 / DSM 2489 / 6091),Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema; Treponema succinifaciens,4.00E-05,7.18E-05,7.95E-05,0.000115,0.00021,0,1.50E-05,4.00E-05,0.00013,0.00021,3.00E-05,0.000114,0.000160361,0.000125,0.00049,1.00E-05,2.25E-05,3.00E-05,0.0001475,5.00E-04,3.50E-05,6.83E-05,9.91E-05,6.50E-05,0.00036,0,1.75E-05,3.50E-05,8.25E-05,0.00036,3.50E-05,5.83E-05,6.69E-05,6.50E-05,0.00021,0,1.00E-05,3.50E-05,7.50E-05,0.00021
UP000006545_CP002689,Porphyromonas asaccharolytica (strain ATCC 25260 / DSM 20707 / BCRC 10618 / JCM 6326 / LMG 13178 / VPI 4198) (Bacteroides asaccharolyticus),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas asaccharolytica,3.00E-05,4.18E-05,3.22E-05,3.00E-05,0.00011,1.00E-05,2.50E-05,3.00E-05,5.50E-05,0.00012,5.00E-06,0.001266,0.003961327,2.75E-05,0.01254,0,0,5.00E-06,2.75E-05,0.01254,5.50E-05,0.0001725,0.000397884,0.000105,0.00142,0,7.50E-06,5.50E-05,0.0001125,0.00142,7.00E-05,0.000324167,0.000844807,0.000125,0.00299,0,1.00E-05,7.00E-05,0.000135,0.00299
UP000008464_CP002729,Escherichia coli UMNK88,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,1.00E-05,3.73E-05,0.000107153,1.00E-05,0.00036,0,0,1.00E-05,1.00E-05,0.00036,5.00E-06,6.90E-05,0.000142318,1.75E-05,0.00042,0,0,5.00E-06,1.75E-05,0.00042,5.00E-05,0.0009075,0.002666189,0.000275,0.00935,0,0,5.00E-05,0.000275,0.00935,0.000485,0.000675,0.000631974,0.000865,0.00182,2.00E-05,0.00016,0.000485,0.001025,0.00184
UP000008938_CP002794,Bifidobacterium longum subsp longum KACC 91563,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,0.00049,0.00062,0.000515868,0.000965,0.00126,4.00E-05,0.000115,0.00049,0.00108,0.0013,0.00018,0.000342,0.000346436,0.00027,0.00115,5.00E-05,0.000165,0.00018,0.000435,0.0012,0.000505,0.000786667,0.000817394,0.000665,0.00284,0.00014,0.0002675,0.000505,0.0009325,0.00298,4.50E-05,0.000135833,0.000235158,9.50E-05,0.00078,0,7.50E-06,4.50E-05,0.0001025,0.00078
UP000008881_CP002824,Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006) (Enterobacter aerogenes),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella aerogenes,0,9.09E-07,3.02E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,0.000181,0.000572372,0,0.00181,0,0,0,0,0.00181,0,2.50E-06,6.22E-06,0,2.00E-05,0,0,0,0,2.00E-05,0,1.58E-05,3.29E-05,1.00E-05,0.00011,0,0,0,1.00E-05,0.00011
UP000001502_CP002843,Streptococcus parasanguinis (strain ATCC 15912 / DSM 6778 / CIP 104372 / LMG 14537),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus parasanguinis,2.00E-04,0.00022,0.000245112,0.00034,0.00072,0,5.00E-06,2.00E-04,0.000345,0.00072,9.00E-05,0.000117,0.000127545,0.0001325,0.00037,0,1.25E-05,9.00E-05,0.000145,0.00037,3.50E-05,0.000175,0.000327095,0.0001125,0.0011,0,7.50E-06,3.50E-05,0.00012,0.0011,5.00E-06,1.33E-05,1.67E-05,2.25E-05,5.00E-05,0,0,5.00E-06,2.25E-05,5.00E-05
UP000000293_CP002888,Streptococcus salivarius (strain 57I),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus salivarius,0.00019,0.000303636,0.000317404,0.000635,8.00E-04,0,1.00E-05,0.00019,0.000645,8.00E-04,9.00E-05,0.000144,0.000149978,0.0002075,0.00047,0,3.00E-05,9.00E-05,0.0002375,0.00047,0.000135,0.000349167,0.000556506,0.00024,0.00164,0,3.25E-05,0.000135,0.0002725,0.00164,0,5.00E-06,1.00E-05,2.50E-06,3.00E-05,0,0,0,2.50E-06,3.00E-05
UP000001279_CP003032,Lactobacillus ruminis (strain ATCC 27782 / RF3),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus ruminis,3.00E-05,6.18E-05,7.59E-05,4.00E-05,0.00021,1.00E-05,2.00E-05,3.00E-05,6.00E-05,0.00022,4.50E-05,4.80E-05,2.53E-05,3.00E-05,8.00E-05,2.00E-05,3.00E-05,4.50E-05,6.00E-05,1.00E-04,4.50E-05,0.000229167,0.000533981,0.000105,0.0019,0,2.00E-05,4.50E-05,0.000125,0.0019,1.00E-05,7.17E-05,0.000133746,2.75E-05,0.00038,0,1.00E-05,1.00E-05,3.75E-05,0.00038
UP000008178_CP003040,Roseburia hominis (strain DSM 16839 / NCIMB 14029 / A2-183),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; Roseburia hominis,0.00522,0.007723636,0.006679442,0.00736,0.02295,0.00205,0.00275,0.00522,0.01011,0.025,0.009385,0.014793,0.015172121,0.0130325,0.04636,0.0023,0.0043375,0.009385,0.01737,0.04866,0.004565,0.0072275,0.009398008,0.0049125,0.03264,0.00071,0.0014975,0.004565,0.00641,0.03335,0.00382,0.010844167,0.016135374,0.00632,0.0533,0.00026,0.0026975,0.00382,0.0090175,0.05356
UP000007093_CP003058,Acidaminococcus intestini (strain RyC-MR95),Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Acidaminococcus; Acidaminococcus intestini,0.00018,0.000293636,0.000354409,0.000365,0.00121,2.00E-05,5.50E-05,0.00018,0.00042,0.00123,0.00014,0.000337,0.000372292,0.000545,0.00093,4.00E-05,6.00E-05,0.00014,0.000605,0.00097,7.50E-05,0.003968333,0.013306556,0.00013,0.0462,2.00E-05,5.00E-05,7.50E-05,0.00018,0.04622,6.00E-05,0.001495,0.00486477,0.0001225,0.01692,2.00E-05,3.00E-05,6.00E-05,0.0001525,0.01694
UP000003506_CP003084,Propionibacterium acnes J139,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Cutibacterium; Cutibacterium acnes; Cutibacterium acnes subsp. defendens,0,1.82E-06,4.05E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,1.00E-05,2.49E-05,7.50E-06,8.00E-05,0,0,0,7.50E-06,8.00E-05,0,1.67E-06,3.89E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,3.33E-06,4.92E-06,1.00E-05,1.00E-05,0,0,0,1.00E-05,1.00E-05
UP000004525_CP003094,Lactobacillus rhamnosus LMS2-1,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus rhamnosus,0,9.09E-07,3.02E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,4.00E-06,6.99E-06,7.50E-06,2.00E-05,0,0,0,7.50E-06,2.00E-05,0,2.50E-06,6.22E-06,0,2.00E-05,0,0,0,0,2.00E-05,0,3.75E-05,0.000126787,0,0.00044,0,0,0,0,0.00044
UP000002865_CP003122,Streptococcus parasanguinis FW213,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus parasanguinis,0.00013,0.000205455,0.000229755,0.00037,0.00063,0,0,0.00013,0.00037,0.00063,7.00E-05,0.000146,0.00021996,0.000105,0.00074,0,3.00E-05,7.00E-05,0.000135,0.00074,5.00E-05,0.000135833,0.000221789,0.000145,0.00077,0,7.50E-06,5.00E-05,0.0001525,0.00077,5.00E-06,9.17E-06,1.08E-05,2.00E-05,3.00E-05,0,0,5.00E-06,2.00E-05,3.00E-05
UP000005436_CP003191,Tannerella forsythia (strain ATCC 43037 / JCM 10827 / FDC 338) (Bacteroides forsythus),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Tannerella; Tannerella forsythia,0.00011,0.000128182,7.85E-05,0.000105,0.00024,2.00E-05,7.00E-05,0.00011,0.000175,0.00026,0.00013,0.000132,8.38E-05,0.000105,0.00028,2.00E-05,7.00E-05,0.00013,0.000175,3.00E-04,8.00E-05,0.000158333,0.000135903,0.0001875,0.00034,4.00E-05,5.75E-05,8.00E-05,0.000245,0.00038,0.000215,0.000230833,0.000194911,0.0002525,0.00063,0,8.50E-05,0.000215,0.0003375,0.00063
UP000006052_CP003274,Alistipes finegoldii (strain DSM 17242 / JCM 16770 / AHN 2437 / CCUG 46020 / CIP 107999),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes finegoldii,0.00525,0.006951818,0.005421688,0.00548,0.01516,0.00182,0.003055,0.00525,0.008535,0.01698,0.002605,0.010634,0.014712343,0.0135675,0.04005,0.00066,0.00132,0.002605,0.0148875,0.04071,0.01231,0.0195625,0.021713394,0.0295825,0.0644,0.00084,0.001805,0.01231,0.0313875,0.06524,0.01826,0.026148333,0.036869077,0.0176775,0.13674,3.00E-04,0.006925,0.01826,0.0246025,0.13704
UP000006167_CP003297,Escherichia coli O104:H4 (strain 2011C-3493),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia coli O104:H4,0,3.82E-05,0.000100878,1.50E-05,0.00034,0,0,0,1.50E-05,0.00034,1.00E-05,0.000505,0.001279351,5.50E-05,0.00406,0,0,1.00E-05,5.50E-05,0.00406,6.50E-05,0.00337,0.010224266,0.0007275,0.03576,0,2.50E-05,6.50E-05,0.0007525,0.03576,0.001035,0.001760833,0.002134596,0.002065,0.00735,0.00014,0.000345,0.001035,0.00241,0.00749
UP000190755_CP003351,Enterococcus faecium (Streptococcus faecium),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecium,6.00E-05,0.000106364,0.000101713,8.50E-05,0.00034,1.00E-05,4.50E-05,6.00E-05,0.00013,0.00035,9.50E-05,0.000123,0.000121933,9.75E-05,0.00043,1.00E-05,5.00E-05,9.50E-05,0.0001475,0.00044,5.50E-05,0.000139167,0.000184463,0.00011,0.00049,1.00E-05,2.75E-05,5.50E-05,0.0001375,5.00E-04,3.50E-05,0.0001575,0.000376204,8.75E-05,0.00134,0,7.50E-06,3.50E-05,9.50E-05,0.00134
